state,latitude,longitude
Uttar Pradesh,27.1303344,80.859666
Delhi,28.6273928,77.1716954
Tamil Nadu,10.9094334,78.3665347
Kerala,10.3528744,76.5120396
Maharashtra,18.9068356,75.6741579
Assam,26.4073841,93.2551303
Karnataka,14.5203896,75.7223521
Madhya Pradesh,23.8143419,77.5340719
Chhattisgarh,21.6637359,81.8406351
Gujarat,22.3850051,71.745261
Goa,15.3004543,74.0855134
Andhra Pradesh,15.9240905,80.1863809
West Bengal,22.9964948,87.6855882
Punjab,30.9293211,75.5004841
Bihar,25.6440845,85.906508
Jharkhand,23.4559809,85.2557301
